iso_code,family,language_name
nhy,utoa1244,Northern Oaxaca Nahuatl
ntp,utoa1244,Northern Tepehuan
ojb,algi1248,Northwestern Ojibwa
pej,pomo1273,Northern Pomo
pef,pomo1273,Northeastern Russian River Pomo
nsq,miwo1274,Northern Sierra Miwok
cst,miwo1274,San Francisco Bay Ohlone
enl,leng1261,Enlhet Norte
emp,choc1280,Northern Emberá
qvz,quec1387,Northern Pastaza Quichua
qul,quec1387,North Bolivian Quechua
qxn,quec1387,Northern Conchucos Ancash Quechua
qvn,quec1387,North Junín Quechua
pmq,otom1299,Northern Pame
xtn,otom1299,Northern Tlaxiaco Mixtec
mxa,otom1299,Northwest Oaxaca Mixtec
ntw,iroq1247,Nottoway
tsi,tsim1258,Southern-Coastal Tsimshian
kav,book1242,Katukína
mbr,kaku1242,Nukak Makú
nuc,pano1259,Nukuini
hux,huit1251,Nüpode Huitoto
nuk,waka1280,Nuu-chah-nulth
obi,chum1262,Obispeño
oca,huit1251,Ocaina
mie,otom1299,Ocotepec Mixtec
zac,otom1299,Ocotlán Zapotec
opy,nucl1710,Ofayé
ofo,siou1252,Ofo
chj,otom1299,Ojitlán Chinantec
oka,sali1255,Okanagan
plo,mixe1284,Oluta Popoluca
omg,tupi1275,Omagua
oma,siou1252,Omaha-Ponca
ome,book1242,Omejes
nht,utoa1244,Ometepec Nahuatl
omu,,Omurano
ona,chon1288,Selk'nam
one,iroq1247,Oneida
ono,iroq1247,Onondaga
opt,utoa1244,Teguima
ore,tuca1253,Maijiki
nlv,utoa1244,Orizaba Nahuatl
orw,chap1271,Oro Win
osa,siou1252,Osage
oti,,Oti
otw,algi1248,Ottawa
otu,boro1281,Otuke
zao,otom1299,Ozolotepec Zapotec
chz,otom1299,Ozumacín Chinantec
qvp,quec1387,Pacaraos Quechua
pcp,pano1259,Pacahuara
ems,eski1264,Pacific Gulf Yupik
pbb,,Páez
ppi,coch1271,Paipai
pta,tupi1275,Pai Tavytera
cpa,otom1299,Palantla Chinantec
pln,indo1319,Palenquero
plu,araw1281,Palikúr
par,utoa1244,Panamint
qxh,quec1387,Panao Huánuco Quechua
kre,nucl1710,Panará
lsp,sign1238,Panamanian Sign Language
pax,unat1236,Pankararé
paz,,Pankararú
knt,pano1259,Panoan Katukína
pno,pano1259,Panobo
top,toto1251,Papantla Totonac
ppv,unat1236,Papavô
pap,indo1319,Papiamento
aap,cari1283,Pará Arára
gug,tupi1275,Paraguayan Guaraní
pak,tupi1275,Parakanã
paf,tupi1275,Paranawát
gvp,nucl1710,Pará Gavião
pbg,araw1281,Paraujano
pys,sign1238,Paraguayan Sign Language
pab,araw1281,Parecís
pth,nucl1710,Pataxó Hã-Ha-Hãe
pbc,cari1283,Patamona
pwi,wint1258,Patwin
pad,araw1282,Paumari
pnk,araw1281,Paunaka
psm,tupi1275,Warázu
paw,cadd1255,Pawnee
pay,chib1249,Pech
pev,cari1283,Pémono
aoc,cari1283,Pemon
pdc,indo1319,Pennsylvania German
mil,otom1299,Peñoles Mixtec
ptw,sali1255,Pentlatch
